School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City
Limerick Avenue Elementary School,"8530 Limerick Ave., Los Angeles, CA, 91306","6
",5,6,6,"['Elementary school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/2197-Limerick-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/canoga-park/2197-Limerick-Avenue-Elementary-School/,Los Angeles
Malabar Street Elementary School,"3200 Malabar Street, Los Angeles, CA, 90063","6
",7,4,5,"['Elementary school', 'Public district']",4.6,N/A,https://www.greatschools.org/california/los-angeles/2218-Malabar-Street-Elementary-School/,Los Angeles
Manchester Avenue Elementary School,"661 West 87th Street, Los Angeles, CA, 90044","6
",7,5,4,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2219-Manchester-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2219-Manchester-Avenue-Elementary-School/,Los Angeles
Marianna Avenue Elementary School,"4215 E. Gleason St., Los Angeles, CA, 90063","6
",7,5,6,"['Elementary school', 'Public district']",5,N/A,https://www.greatschools.org/california/los-angeles/2224-Marianna-Avenue-Elementary-School/,Los Angeles
Montague Charter Academy,"13000 Montague St., Los Angeles, CA, 91331","6
",7,5,5,"['Elementary school', 'Public charter']",4.4,https://www.greatschools.org/california/los-angeles/2250-Montague-Charter-Academy/reviews/,https://www.greatschools.org/california/pacoima/2250-Montague-Charter-Academy/,Los Angeles
Nestle Avenue Charter School,"5060 Nestle Ave., Los Angeles, CA, 91356","6
",4,7,7,"['Elementary school', 'Public charter']",3.4,https://www.greatschools.org/california/los-angeles/2267-Nestle-Avenue-Charter-School/reviews/,https://www.greatschools.org/california/tarzana/2267-Nestle-Avenue-Charter-School/,Los Angeles
Ninety-Second Street Elementary School,"9211 Grape Street, Los Angeles, CA, 90002","6
",8,5,5,"['Elementary school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/2276-Ninety-Second-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2276-Ninety-Second-Street-Elementary-School/,Los Angeles
Park Western Place Elementary School,"1214 Park W.ern Pl., Los Angeles, CA, 90732","6
",5,8,6,"['Elementary school', 'Public district']",4.9,https://www.greatschools.org/california/los-angeles/2313-Park-Western-Place-Elementary-School/reviews/,https://www.greatschools.org/california/san-pedro/2313-Park-Western-Place-Elementary-School/,Los Angeles
Parmelee Avenue Elementary School,"1338 East 76th Place, Los Angeles, CA, 90001","6
",7,5,5,"['Elementary school', 'Public district']",3,N/A,https://www.greatschools.org/california/los-angeles/2315-Parmelee-Avenue-Elementary-School/,Los Angeles
Point Fermin Elementary School,"3333 Kerckhoff Ave., Los Angeles, CA, 90731","6
",6,7,4,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/2327-Point-Fermin-Elementary-School/reviews/,https://www.greatschools.org/california/san-pedro/2327-Point-Fermin-Elementary-School/,Los Angeles
Queen Anne Place Elementary School,"1212 Queen Anne Place, Los Angeles, CA, 90019","6
",5,7,7,"['Elementary school', 'Public district']",5,N/A,https://www.greatschools.org/california/los-angeles/2336-Queen-Anne-Place-Elementary-School/,Los Angeles
Rio Vista Elementary School,"4243 Satsuma Ave., Los Angeles, CA, 91602","6
",5,8,6,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/2346-Rio-Vista-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2346-Rio-Vista-Elementary-School/,Los Angeles
Rockdale Visual & Performing Arts Magnet,"1303 Yosemite Drive, Los Angeles, CA, 90041","6
",5,8,6,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2349-Rockdale-Visual--Performing-Arts-Magnet/reviews/,https://www.greatschools.org/california/los-angeles/2349-Rockdale-Elementary-School/,Los Angeles
San Jose Street Elementary School,"14928 Clymer St., Los Angeles, CA, 91345","6
",6,7,4,"['Elementary school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/2369-San-Jose-Street-Elementary-School/reviews/,https://www.greatschools.org/california/mission-hills/2369-San-Jose-Street-Elementary-School/,Los Angeles
Second Street Elementary School,"1942 East 2nd Street, Los Angeles, CA, 90033","6
",7,5,5,"['Elementary school', 'Public district']",3,N/A,https://www.greatschools.org/california/los-angeles/2377-Second-Street-Elementary-School/,Los Angeles
Serrania Avenue Charter For Enriched Studies,"5014 Serrania Ave., Los Angeles, CA, 91364","6
",5,8,7,"['Elementary school', 'Public charter']",4.6,https://www.greatschools.org/california/los-angeles/2380-Serrania-Avenue-Charter-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/woodland-hills/2380-Serrania-Avenue-Charter-For-Enriched-Studies/,Los Angeles
Seventh Street Elementary School,"1570 W. Seventh St., Los Angeles, CA, 90732","6
",6,5,6,"['Elementary school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/2381-Seventh-Street-Elementary-School/reviews/,https://www.greatschools.org/california/san-pedro/2381-Seventh-Street-Elementary-School/,Los Angeles
Gil Garcetti Learning Academy,"612 West 68th Street, Los Angeles, CA, 90044","6
",7,5,5,"['Elementary school', 'Public district']",5,N/A,https://www.greatschools.org/california/los-angeles/2393-Sixty-Eighth-Street-Elementary-School/,Los Angeles
Nora Sterry Elementary School,"1730 Corinth Avenue, Los Angeles, CA, 90025","6
",7,6,6,"['Elementary school', 'Public district']",4.8,https://www.greatschools.org/california/los-angeles/2401-Nora-Sterry-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2401-Nora-Sterry-Elementary-School/,Los Angeles
Sunland Elementary School,"8350 Hillrose St., Los Angeles, CA, 91040","6
",7,5,4,"['Elementary school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/2408-Sunland-Elementary-School/reviews/,https://www.greatschools.org/california/sunland/2408-Sunland-Elementary-School/,Los Angeles
Superior Street Elementary School,"9756 Oso Ave., Los Angeles, CA, 91311","6
",5,8,6,"['Elementary school', 'Public charter']",3.6,https://www.greatschools.org/california/los-angeles/2411-Superior-Street-Elementary-School/reviews/,https://www.greatschools.org/california/chatsworth/2411-Superior-Street-Elementary-School/,Los Angeles
Toluca Lake Elementary School,"4840 Cahuenga Blvd., Los Angeles, CA, 91601","6
",6,7,6,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2426-Toluca-Lake-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2426-Toluca-Lake-Elementary-School/,Los Angeles
Vermont Avenue Elementary School,"1435 West 27th Street, Los Angeles, CA, 90007","6
",8,4,4,"['Elementary school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/2456-Vermont-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2456-Vermont-Avenue-Elementary-School/,Los Angeles
Vernon City Elementary School,"2360 E. Vernon Ave., Los Angeles, CA, 90058","6
",4,7,7,"['Elementary school', 'Public district']",5,N/A,https://www.greatschools.org/california/los-angeles/2457-Vernon-City-Elementary-School/,Los Angeles
Virginia Road Elementary School,"2925 Virginia Road, Los Angeles, CA, 90016","6
",8,5,5,"['Elementary school', 'Public district']",2.7,https://www.greatschools.org/california/los-angeles/2465-Virginia-Road-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2465-Virginia-Road-Elementary-School/,Los Angeles
Enadia Technology Enriched Charter School,"22944 Enadia Way, Los Angeles, CA, 91307","6
",6,7,5,"['Elementary school', 'Public charter']",4.1,https://www.greatschools.org/california/los-angeles/24702-Enadia-Technology-Enriched-Charter-School/reviews/,https://www.greatschools.org/california/west-hills/24702-Enadia-Technology-Enriched-Charter-School/,Los Angeles
Icef Vista Elementary Academy,"4471 Inglewood Boulevard, Los Angeles, CA, 90066","6
",8,5,5,"['Elementary school', 'Public charter']",3.6,https://www.greatschools.org/california/los-angeles/24778-Icef-Vista-Elementary-Academy/reviews/,https://www.greatschools.org/california/los-angeles/24778-Icef-Vista-Elementary-Academy/,Los Angeles
Wilshire Crest Elementary School,"5241 West Olympic Boulevard, Los Angeles, CA, 90036","6
",8,6,5,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2493-Wilshire-Crest-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2493-Wilshire-Crest-Elementary-School/,Los Angeles
Woodlake Elementary Community Charter School,"23231 Hatteras St., Los Angeles, CA, 91367","6
",5,8,7,"['Elementary school', 'Public charter']",3.5,https://www.greatschools.org/california/los-angeles/2500-Woodlake-Elementary-Community-Charter-School/reviews/,https://www.greatschools.org/california/woodland-hills/2500-Woodlake-Elementary-Community-Charter-School/,Los Angeles
Equitas Academy Charter School,"1700 West Pico Boulevard, Los Angeles, CA, 90015","6
",7,5,5,"['Elementary school', 'Public charter']",4.7,https://www.greatschools.org/california/los-angeles/25117-Equitas-Academy-Charter-School/reviews/,https://www.greatschools.org/california/los-angeles/25117-Equitas-Academy-Charter-School/,Los Angeles
KIPP Empower Academy,"8466 South Figueroa Street, Los Angeles, CA, 90003","6
",9,5,4,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/25197-KIPP-Empower-Academy/reviews/,https://www.greatschools.org/california/los-angeles/25197-KIPP-Empower-Academy/,Los Angeles
Carson-Gore Academy Of Enviornmental Studies,"3200 West Washington Boulevard, Los Angeles, CA, 90018","6
",8,5,5,"['Elementary school', 'Public district']",3.8,N/A,https://www.greatschools.org/california/los-angeles/25366-Carson-Gore-Academy-Of-Enviornmental-Studies/,Los Angeles
Dr. Owen Lloyd Knox Elementary School,"8919 South Main Street, Los Angeles, CA, 90003","6
",7,5,4,"['Elementary school', 'Public district']",3,N/A,https://www.greatschools.org/california/los-angeles/25382-Dr.-Owen-Lloyd-Knox-Elementary-School/,Los Angeles
ISANA Octavia Academy,"3010 Estara Avenue, Los Angeles, CA, 90065","6
",6,6,6,"['Elementary school', 'Middle school', 'Public charter']",3.5,https://www.greatschools.org/california/los-angeles/25439-ISANA-Octavia-Academy/reviews/,https://www.greatschools.org/california/los-angeles/25439-Celerity-Octavia-Charter-School/,Los Angeles
Citizens of the World Charter School Hollywood,"1316 North Bronson Avenue, Los Angeles, CA, 90028","6
",6,8,5,"['Elementary school', 'Public charter']",4.2,https://www.greatschools.org/california/los-angeles/25442-Citizens-Of-The-World-Charter-School-Hollywood/reviews/,https://www.greatschools.org/california/los-angeles/25442-Citizens-Of-The-World-Charter-School-Hollywood/,Los Angeles
Carlos Santana Arts Academy,"9301 Columbus Ave., Los Angeles, CA, 91343","6
",9,4,4,"['Elementary school', 'Public district']",N/A,N/A,https://www.greatschools.org/california/north-hills/25460-Carlos-Santana-Arts-Academy/,Los Angeles
Aspire Inskeep Academy Charter,"123 West 59th Street, Los Angeles, CA, 90003","6
",7,4,5,"['Elementary school', 'Public charter']",3,N/A,https://www.greatschools.org/california/los-angeles/25719-Aspire-Inskeep-Academy-Charter/,Los Angeles
ISANA Palmati Academy,"3580 Wilshire Boulevard, Los Angeles, CA, 90010","6
",5,7,7,"['Elementary school', 'Middle school', 'Public charter']",3.8,https://www.greatschools.org/california/los-angeles/25742-ISANA-Palmati-Academy/reviews/,https://www.greatschools.org/california/north-hollywood/25742-Celerity-Palmati-Charter-School/,Los Angeles
Sylmar Leadership Academy,"14550 Bledsoe St., Los Angeles, CA, 91342","6
",6,7,6,"['Elementary school', 'Middle school', 'Public district']",3.5,https://www.greatschools.org/california/los-angeles/27018-Sylmar-Leadership-Academy/reviews/,https://www.greatschools.org/california/sylmar/27018-Sylmar-Leadership-Academy/,Los Angeles
Mid-City's Prescott School Of Enriched Sciences,"3150 West Adams Boulevard, Los Angeles, CA, 90018","6
",7,6,4,"['Elementary school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/10953-Mid-Citys-Prescott-School-Of-Enriched-Sciences/reviews/,https://www.greatschools.org/california/los-angeles/10953-Mid-Citys-Prescott-School-Of-Enriched-Sciences/,Los Angeles
Lake Balboa College Preparatory Magnet K-12,"6701 Balboa Blvd., Los Angeles, CA, 91406","6
",4,6,6,"['Elementary school', 'Middle school', 'High school', 'Public district']",2.9,https://www.greatschools.org/california/los-angeles/10954-Lake-Balboa-College-Preparatory-Magnet-K-12/reviews/,https://www.greatschools.org/california/lake-balboa/10954-Valley-Alternative-Magnet/,Los Angeles
Arroyo Seco Museum Science,"4805 Sycamore Terrace, Los Angeles, CA, 90065","6
",7,7,5,"['Elementary school', 'Middle school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/10956-Arroyo-Seco-Museum-Science/reviews/,https://www.greatschools.org/california/los-angeles/10956-Arroyo-Seco-Museum-Science/,Los Angeles
First Street Elementary School,"2820 1st Street, Los Angeles, CA, 90033","6
",9,4,3,"['Elementary school', 'Public district']",4.5,N/A,https://www.greatschools.org/california/los-angeles/11737-First-Street-Elementary-School/,Los Angeles
Garden Grove Elementary School,"18141 Valerio St., Los Angeles, CA, 91335","6
",8,5,4,"['Elementary school', 'Public district']",2.4,https://www.greatschools.org/california/los-angeles/11958-Garden-Grove-Elementary-School/reviews/,https://www.greatschools.org/california/reseda/11958-Garden-Grove-Elementary-School/,Los Angeles
Newcastle Elementary School,"6520 Newcastle Ave., Los Angeles, CA, 91335","6
",6,6,6,"['Elementary school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/11959-Newcastle-Elementary-School/reviews/,https://www.greatschools.org/california/reseda/11959-Newcastle-Elementary-School/,Los Angeles
Chime Institute's Schwarzenegger Community,"19722 Collier St., Los Angeles, CA, 91364","6
",6,8,5,"['Elementary school', 'Middle school', 'Public charter']",4.6,https://www.greatschools.org/california/los-angeles/11964-Chime-Institutes-Schwarzenegger-Community/reviews/,https://www.greatschools.org/california/woodland-hills/11964-Chime-Institutes-Schwarzenegger-Community/,Los Angeles
Accelerated Elementary Charter School,"3914 South Main Street, Los Angeles, CA, 90037","6
",5,6,6,"['Elementary school', 'Public charter']",4,N/A,https://www.greatschools.org/california/los-angeles/13809-Accelerated-Elementary-Charter-School/,Los Angeles
Bellingham Elementary School,"6728 Bellingham Ave., Los Angeles, CA, 91606","6
",7,5,5,"['Elementary school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/14165-Bellingham-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/14165-Bellingham-Elementary-School/,Los Angeles
Charles White Elementary School,"2401 Wilshire Boulevard, Los Angeles, CA, 90057","6
",8,5,4,"['Elementary school', 'Public district']",4,N/A,https://www.greatschools.org/california/los-angeles/14174-Charles-White-Elementary-School/,Los Angeles
New Heights Charter School,"2202 West Martin Luther King Junior Boulevard, Los Angeles, CA, 90008","6
",7,5,5,"['Elementary school', 'Middle school', 'Public charter']",4.1,https://www.greatschools.org/california/los-angeles/16959-New-Heights-Charter-School/reviews/,https://www.greatschools.org/california/los-angeles/16959-New-Heights-Charter-School/,Los Angeles
Frank Del Olmo Elementary School,"100 North New Hampshire Avenue, Los Angeles, CA, 90004","6
",7,5,5,"['Elementary school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/17119-Frank-Del-Olmo-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/17119-Frank-Del-Olmo-Elementary-School/,Los Angeles
Global Education Academy,"4141 South Figueroa Street, Los Angeles, CA, 90037","6
",6,6,7,"['Elementary school', 'Public charter']",4.8,https://www.greatschools.org/california/los-angeles/17603-Global-Education-Academy/reviews/,https://www.greatschools.org/california/los-angeles/17603-Global-Education-Academy/,Los Angeles
Dr. Sammy Lee Medical And Health Science Magnet Elementary,"3600 Council Street, Los Angeles, CA, 90004","6
",5,8,7,"['Elementary school', 'Public district']",3,https://www.greatschools.org/california/los-angeles/31178-Dr.-Sammy-Lee-Medical-And-Health-Science-Magnet-Elementary/reviews/,https://www.greatschools.org/california/los-angeles/31178-Dr.-Sammy-Lee-Medical-And-Health-Science-Magnet-Elementary/,Los Angeles
Fenton Stem Academy: Elementary Center For Science Technology Engineering And Mathematics,"8926 Sunland Boulevard, Los Angeles, CA, 91352","6
",7,6,6,"['Elementary school', 'Public charter']",5,N/A,https://www.greatschools.org/california/sun-valley/32070-Fenton-Stem-Academy-Elementary-Center-For-Science-Technology-Engineering-And-Mathematics/,Los Angeles
KIPP Promesa Prep,"207 S. Dacotah St., Los Angeles, CA, 90063","6
",8,5,6,"['Elementary school', 'Public charter']",5,https://www.greatschools.org/california/los-angeles/32074-KIPP-Promesa-Prep/reviews/,https://www.greatschools.org/california/los-angeles/32074-KIPP-Promesa-Prep/,Los Angeles
Libertas College Preparatory Charter,"5101 South Western Avenue, Los Angeles, CA, 90062","6
",7,6,6,"['Elementary school', 'Middle school', 'Public charter']",4.2,https://www.greatschools.org/california/los-angeles/32079-Libertas-College-Preparatory-Charter/reviews/,https://www.greatschools.org/california/los-angeles/32079-Libertas-College-Preparatory-Charter/,Los Angeles
Equitas Academy 4,"631 S. Commonwealth Ave., Los Angeles, CA, 90005","6
",7,5,4,"['Elementary school', 'Middle school', 'Public charter']",3,N/A,https://www.greatschools.org/california/los-angeles/32607-Equitas-Academy-4/,Los Angeles
Aldama Elementary School,"632 North Avenue 50, Los Angeles, CA, 90042","5
",7,5,3,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/1892-Aldama-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1892-Aldama-Elementary-School/,Los Angeles
Alta Loma Elementary School,"1745 Vineyard Avenue, Los Angeles, CA, 90019","5
",7,4,4,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1896-Alta-Loma-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1896-Alta-Loma-Elementary-School/,Los Angeles
Avalon Gardens Elementary School,"13940 San Pedro Street, Los Angeles, CA, 90061","5
",8,3,3,"['Elementary school', 'Public district']",3.8,https://www.greatschools.org/california/los-angeles/1915-Avalon-Gardens-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1915-Avalon-Gardens-Elementary-School/,Los Angeles
Baldwin Hills Elementary School,"5421 Rodeo Rd., Los Angeles, CA, 90016","5
",5,6,5,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/1917-Baldwin-Hills-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1917-Baldwin-Hills-Elementary-School/,Los Angeles
Beethoven Street Elementary School,"3711 Beethoven Street, Los Angeles, CA, 90066","5
",5,7,4,"['Elementary school', 'Public district']",4.7,https://www.greatschools.org/california/los-angeles/1926-Beethoven-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1926-Beethoven-Street-Elementary-School/,Los Angeles
Burbank Boulevard Elementary School,"12215 Albers St., Los Angeles, CA, 91607","5
",4,7,5,"['Elementary school', 'Public district']",4,https://www.greatschools.org/california/los-angeles/1957-Burbank-Boulevard-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/1957-Burbank-Boulevard-Elementary-School/,Los Angeles
Bushnell Way Elementary School,"5507 Bushnell Way, Los Angeles, CA, 90042","5
",5,5,4,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/1961-Bushnell-Way-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1961-Bushnell-Way-Elementary-School/,Los Angeles
Cabrillo Avenue Elementary School,"732 S. Cabrillo Ave., Los Angeles, CA, 90731","5
",6,3,4,"['Elementary school', 'Public district']",2.8,N/A,https://www.greatschools.org/california/san-pedro/1963-Cabrillo-Avenue-Elementary-School/,Los Angeles
Calahan Street Elementary,"18722 Knapp St., Los Angeles, CA, 91324","5
",5,6,5,"['Elementary school', 'Public charter']",4.1,https://www.greatschools.org/california/los-angeles/1966-Calahan-Street-Elementary/reviews/,https://www.greatschools.org/california/northridge/1966-Calahan-Community-Charter/,Los Angeles
Carthay Center Elementary,"6351 West Olympic Boulevard, Los Angeles, CA, 90048","5
",4,7,6,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/1981-Carthay-Center-Elementary/reviews/,https://www.greatschools.org/california/los-angeles/1981-Carthay-Center-Elementary/,Los Angeles
Cheremoya Avenue Elementary School,"6017 Franklin Avenue, Los Angeles, CA, 90028","5
",5,5,4,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/1995-Cheremoya-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1995-Cheremoya-Avenue-Elementary-School/,Los Angeles
Compton Avenue Elementary School,"1515 East 104th Street, Los Angeles, CA, 90002","5
",6,4,3,"['Elementary school', 'Public district']",N/A,N/A,https://www.greatschools.org/california/los-angeles/2012-Compton-Avenue-Elementary-School/,Los Angeles
Crescent Heights Boulevard Elementary School,"1661 South Crescent Heights Boulevard, Los Angeles, CA, 90035","5
",5,5,5,"['Elementary school', 'Public district']",4.8,https://www.greatschools.org/california/los-angeles/2017-Crescent-Heights-Boulevard-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2017-Crescent-Heights-Boulevard-Elementary-School/,Los Angeles
Christopher Dena Elementary School,"1314 South Dacotah Street, Los Angeles, CA, 90023","5
",6,5,5,"['Elementary school', 'Public district']",3,N/A,https://www.greatschools.org/california/los-angeles/2029-Christopher-Dena-Elementary-School/,Los Angeles
Emelita Academy Charter School,"17931 Hatteras St., Los Angeles, CA, 91316","5
",5,6,5,"['Elementary school', 'Public charter']",3.6,https://www.greatschools.org/california/los-angeles/2057-Emelita-Academy-Charter-School/reviews/,https://www.greatschools.org/california/encino/2057-Emelita-Academy-Charter-School/,Los Angeles
Esperanza Elementary School,"680 Little Street, Los Angeles, CA, 90017","5
",8,3,3,"['Elementary school', 'Public district']",4.5,N/A,https://www.greatschools.org/california/los-angeles/2062-Esperanza-Elementary-School/,Los Angeles
Evergreen Avenue Elementary School,"2730 Ganahl Street, Los Angeles, CA, 90033","5
",6,4,4,"['Elementary school', 'Public district']",2,N/A,https://www.greatschools.org/california/los-angeles/2065-Evergreen-Avenue-Elementary-School/,Los Angeles
Fair Avenue Elementary School,"6501 Fair Ave., Los Angeles, CA, 91606","5
",6,4,4,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2066-Fair-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2066-Fair-Avenue-Elementary-School/,Los Angeles
Farmdale Elementary School,"2660 Ruth Swiggett Drive, Los Angeles, CA, 90032","5
",6,5,4,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2069-Farmdale-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2069-Farmdale-Elementary-School/,Los Angeles
Germain Academy For Academic Achievement,"20730 Germain St., Los Angeles, CA, 91311","5
",4,6,6,"['Elementary school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/2103-Germain-Academy-For-Academic-Achievement/reviews/,https://www.greatschools.org/california/chatsworth/2103-Germain-Academy-For-Academic-Achievement/,Los Angeles
Glassell Park Elementary School,"2211 West Avenue 30, Los Angeles, CA, 90065","5
",7,3,3,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2104-Glassell-Park-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2104-Glassell-Park-Elementary-School/,Los Angeles
Gledhill Street Elementary School,"16030 Gledhill St., Los Angeles, CA, 91343","5
",6,5,4,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2105-Gledhill-Street-Elementary-School/reviews/,https://www.greatschools.org/california/north-hills/2105-Gledhill-Street-Elementary-School/,Los Angeles
Graham Elementary School,"8407 South Fir Avenue, Los Angeles, CA, 90001","5
",7,4,3,"['Elementary school', 'Public district']",3,https://www.greatschools.org/california/los-angeles/2110-Graham-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2110-Graham-Elementary-School/,Los Angeles
Granada Elementary Community Charter,"17170 Tribune St., Los Angeles, CA, 91344","5
",7,4,3,"['Elementary school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2111-Granada-Elementary-Community-Charter/reviews/,https://www.greatschools.org/california/granada-hills/2111-Granada-Elementary-Community-Charter/,Los Angeles
Grand View Boulevard Elementary School,"3951 Grand View Boulevard, Los Angeles, CA, 90066","5
",4,7,5,"['Elementary school', 'Public district']",4.7,https://www.greatschools.org/california/los-angeles/2113-Grand-View-Boulevard-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2113-Grand-View-Boulevard-Elementary-School/,Los Angeles
Grant Elementary School,"1530 North Wilton Place, Los Angeles, CA, 90028","5
",5,5,5,"['Elementary school', 'Public district']",4.7,N/A,https://www.greatschools.org/california/los-angeles/2114-Grant-Elementary-School/,Los Angeles
Hamlin Charter Academy,"22627 Hamlin St., Los Angeles, CA, 91307","5
",4,6,6,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2128-Hamlin-Charter-Academy/reviews/,https://www.greatschools.org/california/west-hills/2128-Hamlin-Charter-Academy/,Los Angeles
Hazeltine Avenue Elementary School,"7150 Hazeltine Ave., Los Angeles, CA, 91405","5
",6,4,4,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2139-Hazeltine-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/van-nuys/2139-Hazeltine-Avenue-Elementary-School/,Los Angeles
Hillside Elementary School,"120 East Avenue 35, Los Angeles, CA, 90031","5
",6,4,4,"['Elementary school', 'Public district']",N/A,N/A,https://www.greatschools.org/california/los-angeles/2145-Hillside-Elementary-School/,Los Angeles
Huntington Drive Elementary School,"4435 Huntington Drive South, Los Angeles, CA, 90032","5
",6,4,5,"['Elementary school', 'Public district']",3.8,https://www.greatschools.org/california/los-angeles/2157-Huntington-Drive-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2157-Huntington-Drive-Elementary-School/,Los Angeles
Robert F. Kennedy Elementary School,"4010 Ramboz Drive, Los Angeles, CA, 90063","5
",8,4,3,"['Elementary school', 'Public district']",4.7,N/A,https://www.greatschools.org/california/los-angeles/2169-Robert-F.-Kennedy-Elementary-School/,Los Angeles
Leland Street Elementary School,"2120 S. Leland St., Los Angeles, CA, 90731","5
",5,5,6,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/2190-Leland-Street-Elementary-School/reviews/,https://www.greatschools.org/california/san-pedro/2190-Leland-Street-Elementary-School/,Los Angeles
Lemay Street Elementary School,"17520 Vanowen St., Los Angeles, CA, 91406","5
",4,6,7,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2191-Lemay-Street-Elementary-School/reviews/,https://www.greatschools.org/california/lake-balboa/2191-Lemay-Street-Elementary-School/,Los Angeles
Liggett Street Elementary School,"9373 Moonbeam Ave., Los Angeles, CA, 91402","5
",5,5,5,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2195-Liggett-Street-Elementary-School/reviews/,https://www.greatschools.org/california/panorama-city/2195-Liggett-Street-Elementary-School/,Los Angeles
Loreto Street Elementary School,"3408 Arroyo Seco Avenue, Los Angeles, CA, 90065","5
",5,5,4,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2207-Loreto-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2207-Loreto-Street-Elementary-School/,Los Angeles
Melvin Avenue Elementary School,"7700 Melvin Ave., Los Angeles, CA, 91335","5
",6,5,5,"['Elementary school', 'Public district']",3.8,https://www.greatschools.org/california/los-angeles/2235-Melvin-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/reseda/2235-Melvin-Avenue-Elementary-School/,Los Angeles
